species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2426805,631573,Rana temporaria,Common Frog,214576
5217160,596644,Bufo bufo,Common Toad,196545
2424585,272419,Crinia signifera,Common Froglet,95608
5218405,264854,Lissotriton vulgaris,Smooth Newt,46065
2431885,203755,Triturus cristatus,(Great Or Northern) Crested Newt,32579
2431783,193617,Ichthyosaura alpestris,Alpine Newt,
2431776,192254,Salamandra salamandra,Fire Salamander,42429
5218410,169577,Lissotriton helveticus,Palmate Newt,8162
2422507,162552,Epidalea calamita,Natterjack,20286
2429583,145179,Limnodynastes peronii,Striped Marsh Frog,58579
2427573,137232,Hyla arborea,Common Tree Frog,15615
2422872,124908,Anaxyrus americanus,American Toad,89107
2427091,124315,Lithobates catesbeianus,American Bullfrog,
2426760,106669,Rana dalmatina,Agile Frog,14410
2427172,101900,Lithobates clamitans,Green Frog,
2429578,101785,Limnodynastes tasmaniensis,Spotted Marsh Frog,35180
2427831,101229,Litoria peronii,Peron’s Tree Frog,30291
2427671,97739,Litoria fallax,Eastern Dwarf Treefrog,31532
2426612,94811,Alytes obstetricans,Midwife Frog,4494
2423435,94701,Bombina variegata,Yellowbelly Toad,11698
2426654,90560,Pelophylax lessonae,Pool Frog,11680
2426789,83349,Rana arvalis,Moor Frog,23093
2426661,82827,Pelophylax ridibundus,Marsh Frog,23419
2422538,73255,Duttaphrynus melanostictus,Common Sunda Toad,19861
2427555,71592,Hyla meridionalis,Stripeless Tree Frog,8066
2429581,70165,Limnodynastes dumerilii,Eastern Banjo Frog,20803
2431491,64179,Plethodon cinereus,Redback Salamander,47186
2426947,62998,Hylarana latouchii,Broad-folded Frog,11864
9421513,58702,Bufo spinosus,Western Common Toad,17269
2426658,58448,Pelophylax perezi,Iberian Water Frog,7473
5216933,57717,Rhinella marina,Cane Toad,17028
2430396,56746,Fejervarya limnocharis,Asian Grass Frog/common Pond Frog/field Frog/grass Frog/indian Rice Frog,5422
5218390,55888,Notophthalmus viridescens,Eastern Newt,38969
2427705,54254,Litoria ewingii,Southern Brown Tree Frog,15246
2428132,53671,Pseudacris regilla,Pacific Chorus Frog,43051
2427185,50595,Lithobates pipiens,Northern Leopard Frog,29245
10842219,50218,Ranoidea caerulea,,
2428182,49919,Pseudacris crucifer,Spring Peeper,30795
2427072,49556,Lithobates sylvaticus,Wood Frog,31736
2424593,49049,Crinia parinsignifera,Eastern Sign-bearing Froglet,17013
2423787,41788,Polypedates megacephalus,Hong Kong Whipping Frog,8383
10595763,40596,Ranoidea aurea,Green And Golden Bell Frog,
2431886,40009,Triturus marmoratus,Marbled Newt,2488
10810025,38269,Dryophytes cinereus,Green Treefrog,26074
2427755,35812,Litoria verreauxii,Verreaux’s Tree Frog,14262
9529916,35372,Bufotes viridis,Green Toad,15644
10806364,32897,Dryophytes versicolor,Gray Treefrog,20760
2424293,32314,Pelodytes punctatus,Parsley Frog,3543
5217163,31187,Bufo bankorensis,Central Formosa Toad,5923
2423834,30208,Kurixalus idiootocus,Temple Treefrog,6974
2422404,28880,Incilius nebulifer,Gulf Coast Toad,14551
2422924,28555,Anaxyrus boreas,Western Toad,17788
10365883,28447,Sylvirana guentheri,,
2431951,28069,Ambystoma maculatum,Spotted Salamander,18647
2431913,26730,Taricha torosa,California Newt,18527
2422105,26707,Microhyla fissipes,Ornate Narrow-mouthed Frog,2557
2422905,26121,Anaxyrus fowleri,Fowler's Toad,16730
2427610,23025,Acris blanchardi,Blanchard's Cricket Frog,20868
2429607,23014,Adelotus brevis,Tusked Frog,7453
2427056,22418,Lithobates palustris,Pickerel Frog,16416
2430565,22189,Pelobates cultripes,Western Spadefoot,957
2427256,21874,Odorrana swinhoana,Bangkimtsing Frog,4993
9409066,21822,Polypedates braueri,White-lipped Treefrog,3172
2427093,20944,Lithobates sphenocephalus,Southern Leopard Frog,14137
2430567,20585,Pelobates fuscus,Common Eurasian Spadefoot Toad,2955
10822921,20498,Buergeria choui,Yaeyama Kajika Frog,1594
2427754,19981,Litoria latopalmata,Broad-palmed Rocket Frog,6272
2428083,19614,Osteopilus septentrionalis,Cuban Treefrog,15096
2424588,19519,Crinia glauerti,Glauert’s Froglet,6714
10892611,19421,Rhinella horribilis,Mesoamerican Cane Toad,8551
10824904,19357,Ranoidea gracilenta,,
10870167,18967,Ranoidea raniformis,,
2431750,18891,Batrachoseps attenuatus,California Slender Salamander,11314
5217228,18573,Buergeria robusta,Robust Buerger's Frog,3422
2423443,18245,Bombina bombina,European Fire-bellied Toad,4023
2422916,18141,Anaxyrus terrestris,Southern Toad,11495
2427823,18015,Litoria tyleri,Tyler’s Tree Frog,5304
2431781,17284,Salamandra atra,Alpine Salamander,3413
10863553,17207,Dryophytes chrysoscelis,Cope's Gray Treefrog,9928
2431643,16843,Ensatina eschscholtzii,Ensatina,10308
5218029,16820,Dendrobates truncatus,Yellow-striped Poison Frog,16187
2429573,16705,Platyplectrum ornatum,Ornate Burrowing Frog,4734
10843277,16496,Dryophytes squirellus,Squirrel Treefrog,11257
10877828,15978,Zhangixalus moltrechti,Nantou Flying Frog,3170
2424555,15756,Mixophyes fasciolatus,Great Barred Frog,5517
2430491,15332,Limnonectes fujianensis,Fujian Large-headed Frog,3469
2431920,15307,Taricha granulosa,Roughskin Newt,9350
10857535,15074,Dryophytes japonicus,Japanese Treefrog,3335
10889090,14140,Nidirana adenopleura,Olive Frog,3140
2427779,13826,Litoria rubella,Desert Tree Frog,3473
2426634,13477,Pelophylax nigromaculatus,Black-spotted Pond Frog,3030
2423497,13070,Engystomops pustulosus,Tungara Frog,3496
2424630,12188,Uperoleia laevigata,Smooth Toadlet,3605
2422865,12174,Anaxyrus woodhousii,Woodhouse's Toad,7749
2427839,11998,Litoria adelaidensis,Slender Tree Frog,4130
2427814,11377,Litoria nasuta,Rocket Frog,3084
5218376,11117,Eurycea bislineata,Northern Two-lined Salamander,6887
2427571,10957,Hyla chinensis,Common Chinese Treefrog,821
2423840,10893,Kurixalus eiffingeri,Eiffinger’s Treefrog,1293
10856573,10745,Ranoidea moorei,,
2424629,10413,Uperoleia fusca,Dusky Toadlet,3378
10851350,9967,Sclerophrys pantherina,Western Leopard Toad,6909
2424597,9955,Crinia georgiana,Quacking Frog,3126
2432014,9776,Ambystoma laterale,Blue-spotted Salamander,5285
2431539,9650,Plethodon glutinosus,Northern Slimy Salamander,5717
10754639,9432,Ranoidea phyllochroa,,
2428169,9389,Pseudacris maculata,Boreal Chorus Frog,5857
2432006,9364,Ambystoma opacum,Marbled Salamander,4564
2423441,9061,Bombina orientalis,Oriental Firebelly Toad,1581
11377651,8988,Litoria quiritatus,Screaming Tree Frog,1167
5217144,8939,Bufo gargarizans,Asiatic Toad,4550
2424022,8913,Diasporus gularis,Esmeraldas Robber Frog,8839
10757240,8800,Zhangixalus taipeianus,Taipei Flying Frog,1548
2427616,8786,Acris crepitans,Northern Cricket Frog,5267
5218408,8770,Lissotriton boscai,Tritón Ibérico,1107
2431142,8683,Hynobius leechii,Gensan Salamander,2490
2426803,8510,Rana dybowskii,Dybowski's Frog,285
2429587,8465,Limnodynastes fletcheri,Long-thumbed Frog,2302
2422890,8457,Anaxyrus punctatus,Red-spotted Toad,3822
2424575,8436,Pseudophryne coriacea,Red-backed Toadlet,1583
2431875,8273,Pleurodeles waltl,Iberian Ribbed Newt,1582
5218366,8256,Eurycea cirrigera,Southern Two-lined Salamander,5377
2426774,8116,Rana iberica,Iberian Frog,1034
2424089,8000,Eleutherodactylus planirostris,Greenhouse Frog,5216
10767031,7730,Zhangixalus prasinatus,Tributary Flying Frog,1580
2429582,7593,Limnodynastes convexiusculus,Marbled Frog,1664
2426762,7561,Rana longicrus,Taipa Frog,1261
2427847,7534,Litoria dentata,Robust Bleating Tree Frog,2069
5217556,7330,Leptodactylus fuscus,Rufous Frog,3100
2429585,7317,Limnodynastes dorsalis,Western Banjo Frog,2437
2431824,7045,Calotriton asper,Pyrenean Brook Newt,238
2429559,7009,Neobatrachus sudelli,Sudell's Frog,1225
2426808,6978,Rana aurora,Red-legged Frog,4124
2431711,6927,Aneides lugubris,Arboreal Salamander,4244
2424568,6760,Pseudophryne bibronii,Bibron’s Toadlet,1326
10857682,6719,Nyctimystes infrafrenatus,,
2426616,6696,Discoglossus galganoi,Sapillo Pintojo Ibérico,813
2421636,6691,Kaloula pulchra,"Common,banded Bullfrog",4233
2421766,6649,Gastrophryne carolinensis,Eastern Narrowmouth Toad,4860
2424616,6572,Geocrinia victoriana,Eastern Smooth Frog,995
2427110,6560,Lithobates berlandieri,Rio Grande Leopard Frog,4913
2427565,6553,Hyla orientalis,Common Treefrog,2381
2426617,6448,Discoglossus pictus,Painted Frog,1526
10894420,6423,Dryophytes arenicolor,Canyon Treefrog,3143
5217334,6283,Xenopus laevis,African Clawed Frog,1044
5217671,6271,Hyperolius marmoratus,Aposematic Reed Frog,5774
2429135,6245,Oophaga pumilio,Strawberry Poison Frog,5416
9388146,6203,Buergeria otai,,3256
2428197,6135,Agalychnis callidryas,Red-eyed Treefrog,5385
2431224,6130,Desmognathus fuscus,Northern Dusky Salamander,3878
2427835,6113,Litoria bicolor,Northern Dwarf Tree Frog,1035
2428680,6057,Smilisca baudinii,Mexican Smilisca,3328
2422117,6032,Microhyla heymonsi,"Taiwan Rice Frog,dark Sided Chorus Frog",988
2431777,5891,Salamandra infraimmaculata,Near-eastern Fire Salamander,561
2425166,5839,Pristimantis achatinus,Cachabi Robber Frog,3620
2424562,5792,Mixophyes iteratus,Giant Barred-frog,679
2427701,5781,Litoria inermis,Peter’s Frog,1234
10787842,5778,Ranoidea lesueurii,,
10737932,5699,Ranoidea wilcoxii,,
5217229,5608,Buergeria japonica,Ryukyu Kajika Frog,299
2431459,5600,Pseudotriton ruber,Red Salamander,3083
2424596,5588,Crinia tinnula,Tinkling Froglet,1948
2431199,5549,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,4135
2430382,5449,Hoplobatrachus rugulosus,Asian Peters Frog,1172
2427800,5306,Litoria rothii,Roth’s Tree Frog,822
2429795,5281,Scaphiopus couchii,Couch's Spadefoot Toad,3102
2427618,5110,Acris gryllus,Southern Cricket Frog,2416
5218348,4972,Eurycea longicauda,Long-tailed Salamander,3092
2431998,4959,Ambystoma gracile,Northwestern Salamander,3110
