species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
9510564,29322686,Turdus migratorius,American Robin,13962881
9761484,29275367,Anas platyrhynchos,Mallard,31749
2482507,29047001,Corvus brachyrhynchos,American Crow,18289550
9809229,27936082,Sturnus vulgaris,European Starling / Common Starling,16077425
2495347,27283112,Zenaida macroura,Mourning Dove,45035
2490384,27138595,Cardinalis cardinalis,Northern Cardinal,17933291
5231190,25495806,Passer domesticus,House Sparrow,18385967
2482593,24059939,Cyanocitta cristata,Blue Jay,2321
5232437,23141127,Branta canadensis,Canada Goose,14371780
2492196,22394240,Melospiza melodia,Song Sparrow,10595778
9409198,21040983,Agelaius phoeniceus,Red-winged Blackbird,13273380
5231640,20267186,Spinus tristis,American Goldfinch,1735
8323485,19168083,Haemorhous mexicanus,House Finch,12752792
9149595,19040146,Dryobates pubescens,Downy Woodpecker,3025
2487805,18751288,Poecile atricapillus,Black-capped Chickadee,2831
2481930,17605321,Cathartes aura,Turkey Vulture,11290706
9515886,17259875,Hirundo rustica,Barn Swallow,9109376
2478106,15424905,Melanerpes carolinus,Red-bellied Woodpecker,22147
2495414,15394819,Columba livia,Rock Pigeon / Rock Dove,16442
2478259,14988505,Colaptes auratus,Northern Flicker,1597
9362842,14793683,Junco hyemalis,Dark-eyed Junco,6849085
2484892,14306489,Sitta carolinensis,White-breasted Nuthatch,1687
9630752,14144858,Ardea herodias,Great Blue Heron,6311924
9705453,13576455,Parus major,Great Tit,512054
2487887,13277406,Baeolophus bicolor,Tufted Titmouse,1667
2490719,13028855,Turdus merula,Eurasian Blackbird / Common Blackbird,470660
2493801,12899675,Thryothorus ludovicianus,Carolina Wren,6608956
9752617,12756861,Ardea alba,Great White Egret,9752
2480542,12417929,Buteo jamaicensis,Red-tailed Hawk,43531
7341805,12339410,Setophaga coronata,Myrtle Warbler,3132738
2484155,12332440,Quiscalus quiscula,Common Grackle,7663136
2482492,12198799,Corvus corax,Common Raven / Northern Raven,13701
5231677,11806495,Mimus polyglottos,Northern Mockingbird,3143
2481134,11206866,Larus delawarensis,Ring-billed Gull,6501177
2487879,10889448,Cyanistes caeruleus,Eurasian Blue-tit,441633
2492462,10612804,Erithacus rubecula,European Robin,5134298
2481875,10521708,Phalacrocorax auritus,Double-crested Cormorant,
2494422,10004160,Fringilla coelebs,Common Chaffinch,5033996
2480320,9867540,Charadrius vociferus,Killdeer,20671
5231140,9612804,Zonotrichia albicollis,White-throated Sparrow,4600735
2495696,9528943,Streptopelia decaocto,Eurasian Collared-dove,5247372
2494936,9394147,Dumetella carolinensis,Gray Catbird,297
2495455,9119299,Columba palumbus,Common Woodpigeon,5374690
2492109,8970614,Spizella passerina,Chipping Sparrow,4042991
2487844,8629820,Poecile carolinensis,Carolina Chickadee,1213
2489670,8505133,Geothlypis trichas,Common Yellowthroat,3842363
2484391,8400291,Molothrus ater,Brown-headed Cowbird,5159814
2489181,8322735,Tachycineta bicolor,Tree Swallow,140
2490941,8059597,Sialia sialis,Eastern Bluebird,3965183
5229490,7947233,Pica pica,Eurasian Magpie,345603
2480726,7794064,Pandion haliaetus,Osprey,2699981
2480446,7770248,Haliaeetus leucocephalus,Bald Eagle,33484
9797180,7652123,Ardea cinerea,Gray Heron,3767110
9192501,7521754,Leuconotopicus villosus,Hairy Woodpecker,3513669
2484597,7497936,Regulus calendula,Ruby-crowned Kinglet,
8214667,7454551,Anas crecca,Eurasian Teal,2961622
2480537,7346022,Buteo buteo,Common Buzzard,2134056
2483606,7242838,Sayornis phoebe,Eastern Phoebe,3239975
2484609,7230563,Bombycilla cedrorum,Cedar Waxwing,3234125
7341834,7044356,Setophaga petechia,Yellow Warbler / American Yellow Warbler,3326977
