species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
8215487,4474858,Salmo trutta,Brown Trout,43363
8084280,2920076,Gadus morhua,Atlantic Cod,2145730
4284072,1986991,Clupea pallasii,Pacific Herring,10774
2414014,1896842,Engraulis ringens,Peruvian Anchoveta,324255
7595433,1430408,Salmo salar,Sebago (Landlocked) Salmon,37397
2359706,1414439,Rutilus rutilus,Roach,2917
2415631,1367966,Merluccius gayi,Chilean Hake,1210769
5212973,1080315,Anguilla anguilla,European Eel,76142
4409653,1058741,Phoxinus phoxinus,Minnow,663
8351946,1041585,Clupea harengus,Atlantic Herring,459881
2415822,1032098,Melanogrammus aeglefinus,Haddock,658716
8140485,1017196,Perca fluviatilis,Perch,19125
4409628,974420,Gobio gobio,Gudgeon,4138
2365685,931633,Squalius cephalus,European Chub,5601
2333785,857937,Myoxocephalus scorpius,"Shorthorn Sculpin, Bull-rout",3706
2413034,788647,Strangomera bentincki,Araucanian Herring,152824
5210470,753147,Trachurus murphyi,Chilean Jack Mackerel,676960
5204862,707533,Barbatula barbatula,Stone Loach,3447
7807208,689255,Cottus gobio,Bullhead,400
2346633,685238,Esox lucius,"Northern Pike, Pike",13831
2415788,606405,Merlangius merlangus,Whiting,212922
7700106,571375,Pleuronectes platessa,"European Plaice, Plaice",41995
2409104,524141,Hippoglossoides platessoides,Amer. Plaice(=long Rough Dab),15198
5213960,508866,Limanda limanda,Common Dab,148623
2415632,479829,Merluccius australis,Chilean Hake,
4284021,467037,Salvelinus alpinus,"Alpine Char, Arctic Char",121302
2362925,466760,Alburnus alburnus,Bleak,1548
2333802,447850,Myoxocephalus octodecemspinosus,18-spined Sculpin,
2397850,447028,Xiphias gladius,Swordfish,6401
2418684,413398,Scyliorhinus canicula,"Smallspotted Catshark, Small-spotted Catshark, Lesser Spotted Dogfish",74917
9809222,412274,Abramis brama,Bream,4048
2415616,411757,Macruronus magellanicus,Patagonian Grenadier,
2415637,389817,Merluccius bilinearis,Atlantic Hake,100811
5216368,386259,Squalus acanthias,Spiny Dogfish,44449
2356612,377367,Beryx splendens,"Splendid Alfonsino, Lowe's Beryx",228
2357093,362594,Hoplostethus atlanticus,Orange Roughy,
2409330,338441,Platichthys flesus,European Flounder,24560
5209574,325682,Gymnocephalus cernua,Ruffe,1572
2415643,295318,Merluccius merluccius,European Hake,97232
5739539,286865,Barbus barbus,Barbel,692
2413452,276404,Sprattus sprattus,"European Sprat, Sprat",51306
2374149,266716,Scomber scombrus,Atlantic Mackerel,37613
4286975,264746,Cyprinus carpio,Common Carp,22758
5204019,254752,Oncorhynchus mykiss,Rainbow Trout,14519
2336597,254463,Eutrigla gurnardus,Grey Gurnard,
2362635,252841,Scardinius erythrophthalmus,Rudd,9188
5208087,243281,Brama australis,,
5210473,235898,Trachurus trachurus,Atlantic Horse Mackerel,83633
2415460,232865,Lota lota,Burbot,554
2385957,231803,Dissostichus eleginoides,Patagonian Toothfish,
2360305,227701,Alburnoides bipunctatus,Schneider,185
2417981,226832,Carcharhinus melanopterus,"Blacktip Reef Shark, Blacktip Shark",2269
2418064,218772,Carcharhinus amblyrhynchos,"Grey Shark, Blacktail Reef Shark, Grey Reef Shark",10292
4286327,214815,Gasterosteus aculeatus,Three-spined Stickleback,12471
5204024,211322,Oncorhynchus tshawytscha,"King Salmon, Spring Salmon",4157
2413931,210669,Anchoa mitchilli,Anchovy,2004
2359471,203502,Blicca bjoerkna,White Bream,2134
5213953,203408,Limanda ferruginea,Mud Dab,
7599552,200053,Scomber japonicus,"Chub Mackerel, Spanish Mackerel",4554
2362524,198225,Tinca tinca,Tench,6018
2415861,197594,Pollachius virens,American Pollack,
5204039,197038,Oncorhynchus nerka,Blue-back,90291
5204034,196482,Oncorhynchus kisutch,Coho Salmon,4115
2400598,195438,Mugil incilis,"Parassi Mullet, Stripped Mullet",134832
2394486,193398,Lepomis gibbosus,"Pumpkinseed (Sun Perch, Sun Bass)",73531
2415906,190625,Trisopterus minutus,Poor Cod,
4409641,185184,Leuciscus leuciscus,Dace,502
2409091,182952,Atheresthes stomias,Arrow-tooth Flounder,8490
5214139,182865,Solea solea,"Common Sole, Sole",61113
5214001,178797,Glyptocephalus zachirus,Rex Sole,11574
2382155,175461,Sander lucioperca,Pikeperch (Zander),3960
2386906,175091,Callionymus lyra,Dragonet,63404
2409370,174158,Parophrys vetulus,English Sole,5491
2374013,174125,Thunnus albacares,Yellow-fin Tunny,322
2394612,169445,Morone saxatilis,Linesider,123646
5212294,162962,Leiostomus xanthurus,Spot,1442
2360842,161730,Rhodeus amarus,Bitterling,3583
5213996,161087,Glyptocephalus cynoglossus,Witch Flounder,3727
2399874,156181,Micropogonias undulatus,Atlantic Croaker,1128
2420446,155308,Amblyraja radiata,"Starry Ray, Thorny Skate",3600
8189568,154933,Mugil cephalus,Black Mullet,5448
2418036,151879,Carcharhinus leucas,Bull Shark,2412
2335366,150905,Sebastes mystinus,Blue Rockfish,
5214022,147763,Microstomus kitt,Lemon Sole,15515
2417940,147290,Prionace glauca,Blue Dog,20134
9365191,146317,Ariopsis canteri,,
2387731,142494,Paralabrax clathratus,Kelp Bass,105774
2351174,141350,Coregonus maraena,Maraena Whitefish,34
2351027,140732,Coregonus albula,Vendace,24
2394563,136366,Micropterus salmoides,Largemouth Bass (Black Bass),5327
2413473,136258,Sprattus fuegensis,Chilean Sprat,40307
2415777,135749,Micromesistius poutassou,Blue Whiting,
2336521,135059,Ophiodon elongatus,Lingcod,
2394503,134184,Lepomis macrochirus,Bluegill Sunfish,35063
2352186,131995,Prochilodus magdalenae,,12388
2381939,129763,Coryphaena hippurus,Common Dolphifish,16338
2383301,129301,Oxyjulis californica,Senorita,83276
5214028,129090,Microstomus pacificus,Dover Sole,8626
2360687,128447,Telestes souffia,Vairone,16
5739510,126850,Pungitius pungitius,Ninespine Stickleback,4668
2415923,125499,Trisopterus esmarkii,Norway Pout,44225
2384402,125115,Semicossyphus pulcher,California Sheephead,105636
2408726,124405,Citharichthys sordidus,Pacific Sanddab,12086
2384533,123441,Thalassoma bifasciatum,Bluehead,68579
5212202,123042,Chromis punctipinnis,Blacksmith,82709
2415734,121880,Urophycis tenuis,White Hake,
5216380,120317,Squalus suckleyi,North Pacific Spiny Dogfish,25824
5213725,120040,Mola mola,Ocean Sunfish,61140
2393654,119991,Scarus iseri,Striped Parrotfish,67597
2398736,117973,Hypsypops rubicundus,Garibaldi,93133
2418259,117849,Galeorhinus galeus,"Tope Shark, Tope",12911
2392516,117596,Lagodon rhomboides,Pinfish,11048
2389282,117193,Embiotoca jacksoni,Black Perch,24654
