species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
8168319,284978,Amanita muscaria,Fly Agaric,
5260693,211662,Lobaria pulmonaria,Common Lungwort Lichen,
8197849,199254,Xanthoria parietina,Common Orange Lichen,
11022230,186349,Alectoria sarmentosa,Witch's Hair,
2548311,172916,Trametes versicolor,Turkeytail,
9819973,161006,Fomitopsis betulina,Birch Polypore,
8068867,150984,Fomes fomentarius,Tinder Bracket,
7987658,138910,Coprinus comatus,Shaggy Inkcap,109213
2542395,130490,Fomitopsis pinicola,Red-belted Bracket,
5255147,117991,Xylaria hypoxylon,Candlesnuff Fungus,
2605963,114217,Parmelia sulcata,Hammered Shield Lichen,
3293632,114133,Hypholoma fasciculare,Sulphur Tuft,
7496350,108061,Amanita rubescens,Blusher,
9072021,106447,Laetiporus sulphureus,Chicken Of The Woods,
2553128,106442,Stereum hirsutum,Hairy Curtain Crust,
5241128,95390,Schizophyllum commune,"Common Porecrust, Split Gill Fungus",
5249271,92583,Auricularia auricula-judae,Jelly Ear,
2530983,91929,Laccaria amethystina,Amethyst Deceiver,4571
2520051,86575,Phellinidium ferrugineofuscum,,
2605261,85763,Evernia prunastri,Oak Moss,
9134585,83331,Calocera viscosa,Yellow Stagshorn,
7247635,82648,Hypogymnia physodes,Dark Crottle,
7832732,81436,Imleria badia,Bay Bolete,45902
5239982,78291,Scleroderma citrinum,Common Earthball,
2607712,75934,Cladonia stellaris,Star-tipped Reindeer Lichen,
5243258,74505,Lycoperdon perlatum,Common Puffball,28681
12030173,73639,Podila humilis,,
5954958,73166,Boletus edulis,"Cep, Penny Bun",30228
2530926,71897,Laccaria laccata,Deceiver,1750
7251037,71354,Physcia adscendens,Hooded Rosette Lichen,
2601181,71177,Nephroma arcticum,Arctic Kidney Lichen,
7765582,70958,Amanita fulva,Tawny Grisette,
9739824,70919,Saitozyma podzolica,,
2601143,69200,Peltigera aphthosa,Common Freckle Pelt Lichen,
2545670,66124,Daedaleopsis confragosa,Blushing Bracket,
10852503,65853,Apioperdon pyriforme,"Pear-shaped Puffball, Stump Puffball",
9035469,65446,Porodaedalea pini,Pine Bracket,
3314876,65389,Phallus impudicus,Stinkhorn,
5249504,64691,Cantharellus cibarius,Chanterelle,3332
2547092,64242,Cerioporus squamosus,Dryad's Saddle,
2531072,63983,Clitocybe nebularis,Clouded Funnel,
2606178,63944,Flavoparmelia caperata,Common Green Shield Lichen,32378
10990852,61956,Lecidella elaeochroma,,
9755839,60583,Solicoccozyma terricola,,
2538524,60367,Hygrocybe conica,Blackening Waxcap,
9208081,58898,Trametes gibbosa,Lumpy Bracket,
2526880,58064,Mycena galericulata,Common Bonnet,
8622852,58021,Protoparmeliopsis muralis,Stonewall Rim Lichen,
3328320,57101,Amanita citrina,False Deathcap,
8179389,56878,Rhodofomes roseus,,
11945016,56573,Tremella mesenterica,,
7847785,56512,Lecanactis abietina,,
8914748,56335,Macrolepiota procera,Parasol,
2608167,56190,Ramalina farinacea,Farinose Cartilage Lichen,
