species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
5218465,3211548,Pipistrellus pipistrellus,Common Pipistrelle,977902
5220126,2268740,Capreolus capreolus,European Roe Deer,1381758
5219243,1716239,Vulpes vulpes,Red Fox,974464
5219858,1482227,Ondatra zibethicus,Muskrat,514098
7705930,1101615,Sus scrofa,Wild Boar,410550
2434814,1096725,Mirounga leonina,Southern Elephant Seal,7234
7952072,1035853,Lepus europaeus,European Hare,457434
8211070,903731,Sciurus vulgaris,Eurasian Red Squirrel,151246
5219616,853588,Erinaceus europaeus,Hedgehog,206893
2436940,717288,Oryctolagus cuniculus,European Rabbit,290802
2440958,593549,Cervus elaphus,Red Deer,370594
5219681,587604,Sciurus carolinensis,Eastern Gray Squirrel,379025
5220086,502591,Megaptera novaeangliae,Humpback Whale,243240
2440149,502071,Wallabia bicolor,Swamp Wallaby,126322
2433875,457594,Meles meles,European Badger,
5707150,424658,Pipistrellus pygmaeus,Soprano Pipistrelle,100053
2441022,421611,Bos taurus,Cow,
2434784,386499,Leptonychotes weddellii,Weddell Seal,18037
7872906,373984,Talpa europaea,European Mole,54023
2434806,363154,Halichoerus grypus,Grey Seal,65503
2440012,357445,Phascolarctos cinereus,Koala,220571
2434793,323427,Phoca vitulina,Harbor Seal,112121
5220170,320790,Rupicapra rupicapra,Chamois,29767
5218522,315383,Nyctalus leisleri,Lesser Noctule,252126
5218524,310831,Nyctalus noctula,Noctule Bat,238834
4409131,306936,Castor fiber,Eurasian Beaver,193147
2440669,306393,Phocoena phocoena,Harbor Porpoise,58477
2440965,290772,Odocoileus virginianus,White-tailed Deer,266776
2433753,288057,Lutra lutra,European Otter,50852
2440718,285571,Balaenoptera physalus,Fin Whale,104379
2440254,282868,Trichosurus vulpecula,Common Brushtail Possum,156084
2432439,273431,Myotis daubentonii,Daubenton's Bat,62648
2440728,262262,Balaenoptera acutorostrata,Minke Whale,7281
2433472,238466,Arctocephalus gazella,Antarctic Fur Seal,32764
2439261,219624,Rattus norvegicus,Brown Rat,153374
5219981,218584,Macropus giganteus,Eastern Grey Kangaroo,133988
5220136,197855,Dama dama,Fallow Deer,184851
2432359,184637,Eptesicus serotinus,Serotine Bat,
5219173,182273,Canis lupus,Gray Wolf,75541
2435035,175275,Felis catus,Cat,
2440447,172204,Tursiops truncatus,Common Bottlenose Dolphin,27152
5218887,161809,Martes foina,Beech Marten,68759
4264680,161243,Myocastor coypus,Coypu,96819
