species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2469188,375268,Podarcis muralis,Common Wall Lizard,311708
2442225,247320,Chelonia mydas,Green Turtle,6442
9702100,243942,Zootoca vivipara,Viviparous Lizard,42954
2468095,230168,Anguis fragilis,Slow Worm,44610
8894817,217910,Caretta caretta,Loggerhead Sea Turtle,60660
2443002,212215,Trachemys scripta,Slider,201558
6159223,183008,Lacerta agilis,Sand Lizard,106675
6159243,139074,Lacerta bilineata,Western Green Lacerta,
2451234,126714,Sceloporus occidentalis,Pacific Blue-bellied Lizard,126374
2457522,121302,Thamnophis sirtalis,Common Garter Snake,120001
5960862,118415,Vipera berus,Common Adder,68867
9350124,114783,Natrix helvetica,Grass Snake,21608
6161347,114140,Natrix natrix,Grass Snake,64139
2443133,108002,Chrysemys picta,Painted Turtle,106863
2441333,97846,Crocodylus porosus,Saltwater Crocodile,13588
4287413,90792,Anolis sagrei,Brown Anole,87699
2466939,90219,Anolis carolinensis,Green Anole,86845
2445034,90063,Tarentola mauritanica,Moorish Gecko,178
2441905,70459,Chelydra serpentina,Common Snapping Turtle,24480
2459658,66145,Iguana iguana,Green Iguana,49542
2441370,61997,Alligator mississippiensis,American Alligator,52594
2443173,59726,Terrapene carolina,Common Box Turtle,58929
2462503,58158,Tiliqua scincoides,Eastern Bluetongue Skink,36521
2451029,57913,Uta stansburiana,Side-blotched Lizard,56935
5959617,55957,Coronella austriaca,Smooth Snake,29593
2458916,54803,Hierophis viridiflavus,Western Whip Snake,4241
8909809,54133,Emys orbicularis,European Pond Turtle,47832
5223334,53381,Nerodia sipedon,Northern Water Snake,52871
9789983,52596,Dermochelys coriacea,Leatherback,22048
2468542,47677,Timon lepidus,Ocellated Lizard,3416
2453826,46547,Pituophis catenifer,Bullsnake,46167
2469763,45535,Psammodromus algirus,Algerian Psammodromus,2717
5221528,43852,Hemidactylus turcicus,Mediterranean Gecko,41004
6161340,43786,Natrix maura,Viperine Snake,
2447609,42517,Gonatodes albogularis,Yellow-headed Gecko,
8796529,42378,Malpolon monspessulanus,Montpellier Snake,1068
8161292,39248,Intellagama lesueurii,Eastern Water Dragon,27230
2458538,38991,Zamenis longissimus,Aesculapian Snake,17643
